unknown_id,image_path,first_seen_timestamp,last_seen_timestamp,last_known_location,assigned_name
unknown_001,D:\n-0ne\unknown_faces\unknown_001.jpg,2026-08-08 16:34:37,2026-08-08 16:34:37,Main Feed,
unknown_002,D:\n-0ne\unknown_faces\unknown_002.jpg,2026-08-08 16:34:38,2026-08-08 16:34:38,Main Feed,
unknown_003,D:\n-0ne\unknown_faces\unknown_003.jpg,2026-08-08 16:34:38,2026-08-08 17:36:27,Main Feed,
unknown_004,D:\n-0ne\unknown_faces\unknown_004.jpg,2026-08-08 17:35:06,2026-08-08 17:35:06,Main Feed,
